;地图号 座标X  座标Y  	范围	触发标识:标识值  事件类型:物品名:组队标记  触发机率:触发格式:脚本标签
F016 	202	101	0	-1:0		4:*:0			0:1:@骑兵竞技终点
F016 	201	100	0	-1:0		4:*:0			0:1:@骑兵竞技终点
F016 	200	99	0	-1:0		4:*:0			0:1:@骑兵竞技终点
F016 	199	98	0	-1:0		4:*:0			0:1:@骑兵竞技终点
F016 	198	97	0	-1:0		4:*:0			0:1:@骑兵竞技终点
F016 	204	102	0	-1:0		4:*:0			0:1:@骑兵竞技终点
F016 	203	101	0	-1:0		4:*:0			0:1:@骑兵竞技终点
F016 	202	100	0	-1:0		4:*:0			0:1:@骑兵竞技终点
F016 	201	99	0	-1:0		4:*:0			0:1:@骑兵竞技终点
F016 	200	98	0	-1:0		4:*:0			0:1:@骑兵竞技终点
F016 	199	97	0	-1:0		4:*:0			0:1:@骑兵竞技终点
F016 	198	96	0	-1:0		4:*:0			0:1:@骑兵竞技终点
F016 	197	95	0	-1:0		4:*:0			0:1:@骑兵竞技终点

F016 	202	101	0	-1:0		5:*:0			0:1:@骑兵竞技终点
F016 	201	100	0	-1:0		5:*:0			0:1:@骑兵竞技终点
F016 	200	99	0	-1:0		5:*:0			0:1:@骑兵竞技终点
F016 	199	98	0	-1:0		5:*:0			0:1:@骑兵竞技终点
F016 	198	97	0	-1:0		5:*:0			0:1:@骑兵竞技终点
F016 	204	102	0	-1:0		5:*:0			0:1:@骑兵竞技终点
F016 	203	101	0	-1:0		5:*:0			0:1:@骑兵竞技终点
F016 	202	100	0	-1:0		5:*:0			0:1:@骑兵竞技终点
F016 	201	99	0	-1:0		5:*:0			0:1:@骑兵竞技终点
F016 	200	98	0	-1:0		5:*:0			0:1:@骑兵竞技终点
F016 	199	97	0	-1:0		5:*:0			0:1:@骑兵竞技终点
F016 	198	96	0	-1:0		5:*:0			0:1:@骑兵竞技终点
F016 	197	95	0	-1:0		5:*:0			0:1:@骑兵竞技终点

4	0	0	0	-1:0		2:黑暗之戒:0		0:1:@拾取黑暗之戒

