灵皓石|1000000
圣战头盔|200000
圣战项链|200000
圣战手镯|200000
圣战戒指|200000
圣战腰带|200000
圣战靴子|200000
法神头盔|200000
法神项链|200000
法神手镯|200000
法神戒指|200000
法神靴子|200000
法神腰带|200000
天尊头盔|200000
天尊项链|200000
天尊手镯|200000
天尊戒指|200000
天尊道靴|200000
天尊腰带|200000
神武腰带|300000
神武战靴|300000
神武头盔|300000
神武项链|300000
神武手镯|300000
神武戒指|300000
幻魔头盔|300000
幻魔项链|300000
幻魔手镯|300000
幻魔戒指|300000
幻魔法靴|300000
幻魔腰带|300000
天玄头盔|300000
天玄项链|300000
天玄手镯|300000
天玄戒指|300000
天玄道靴|300000
天玄腰带|300000
战神头盔|500000
战神项链|500000
战神手镯|500000
战神戒指|500000
战神靴子|500000
战神腰带|500000
魔神头盔|500000
魔神项链|500000
魔神手镯|500000
魔神戒指|500000
魔神靴子|500000
魔神腰带|500000
道神头盔|500000
道神项链|500000
道神手镯|500000
道神戒指|500000
道神靴子|500000
道神腰带|500000
