0,[DRUGS],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,HpPotion(S),0,0,1,0,0,256,168,1,20,0,0,0,0,0,0,0,0,0,0,0,80,0,0,16
2,MpPotion(S),0,0,1,0,0,0,175,1,0,0,30,0,0,0,0,0,0,0,0,0,80,0,0,0
3,HpPotion(M),0,0,2,0,0,0,169,1,50,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0
4,MpPotion(M),0,0,2,0,0,0,176,1,0,0,80,0,0,0,0,0,0,0,0,0,200,0,0,0
5,HpPotion(L),0,0,3,0,0,0,170,1,90,0,0,0,0,0,0,0,0,0,0,1,550,0,0,0
6,MpPotion(L),0,0,3,0,0,0,177,1,0,0,150,0,0,0,0,0,0,0,0,1,550,0,0,0
7,HpBundle(L),31,202,20,0,0,0,171,6,0,0,0,0,0,0,0,0,0,0,0,0,3400,0,0,0
8,MpBundle(L),31,202,20,100,0,0,178,6,0,0,0,0,0,0,0,0,0,0,0,0,3400,0,0,0
9,SunPotion(S),0,1,1,0,0,0,180,1,30,0,40,0,0,0,0,0,0,0,0,1,1000,0,0,0
10,SunPotion(M),0,1,2,0,0,1,223,1,50,0,80,0,0,0,0,0,0,0,0,0,2000,10,0,0
11,SunPotion(L),0,1,1,0,0,0,174,0,100,0,160,0,0,0,0,0,0,0,0,0,5000,10,0,0
12,HpBundle(S),0,202,7,0,0,0,235,6,0,0,0,0,0,0,0,0,0,0,0,0,680,10,0,0
13,MpBundle(S),0,202,7,0,0,0,236,6,0,0,0,0,0,0,0,0,0,0,0,0,680,10,0,0
14,HpBundle(M),0,202,14,0,0,0,237,6,0,0,0,0,0,0,0,0,0,0,0,0,1520,10,0,0
15,MpBundle(M),0,202,14,0,0,0,238,6,0,0,0,0,0,0,0,0,0,0,0,0,1520,10,0,0
16,PremiumHP,0,0,3,0,0,0,733,1,140,0,0,0,0,0,0,0,0,0,0,1,850,10,0,0
17,PremiumMP,0,0,3,0,0,0,734,1,0,0,240,0,0,0,0,0,0,0,0,1,850,10,0,0
18,HpPotion(XLB),0,202,20,0,0,0,731,6,0,0,0,0,0,0,0,0,0,0,0,1,5200,10,0,0
19,MpPotion(XLB),0,202,20,0,0,0,732,6,0,0,0,0,0,0,0,0,0,0,0,1,5200,10,0,0
20,MpDrugBag(S),31,113,30,0,0,0,855,1,0,0,0,0,0,0,0,0,0,0,0,0,3400,10,0,0
21,HpDrugBag(S),31,114,30,0,0,0,855,1,0,0,0,0,0,0,0,0,0,0,0,0,3400,10,0,0
22,MpDrugBag(M),31,115,50,0,0,0,855,1,0,0,0,0,0,0,0,0,0,0,0,0,3400,10,0,0
23,HpDrugBag(M),31,116,50,0,0,0,855,1,0,0,0,0,0,0,0,0,0,0,0,0,3400,10,0,0
24,MpDrugBag(L),31,117,100,0,0,0,855,1,0,0,0,0,0,0,0,0,0,0,0,0,3400,10,0,0
25,HpDrugBag(L),31,118,100,0,0,0,855,1,0,0,0,0,0,0,0,0,0,0,0,0,3400,10,0,0
26,MpDrugBag(XL),31,120,100,0,0,0,855,1,0,0,0,0,0,0,0,0,0,0,0,0,3400,10,0,0
27,HpDrugBag(XL),31,119,100,0,0,0,855,1,0,0,0,0,0,0,0,0,0,0,0,0,3400,10,0,0
28,SunDrugBag(S),31,123,3,0,0,0,855,1,0,0,0,0,0,0,0,0,0,0,0,0,3400,10,0,0
29,SunDrugBag(M),31,124,6,0,0,0,855,1,0,0,0,0,0,0,0,0,0,0,0,0,3400,10,0,0
30,SunDrugBag(L),31,125,6,0,0,0,855,1,0,0,0,0,0,0,0,0,0,0,0,0,3400,10,0,0
31,StaminaAid,3,12,3,0,0,0,207,0,50,0,0,180,0,0,0,0,0,0,0,0,500,10,0,0
32,MagicAid,3,12,3,0,0,0,208,0,0,0,50,180,0,0,0,0,0,0,0,0,500,10,0,0
33,ImpactDrug,3,12,3,0,0,0,218,0,0,0,0,180,3,0,0,0,0,0,0,0,500,10,0,0
34,MagicDrug,3,12,3,0,0,0,219,0,0,0,0,180,0,0,3,0,0,0,0,0,500,10,0,0
35,TaoistDrug,3,12,3,0,0,0,220,0,0,0,0,180,0,0,0,0,3,0,0,0,500,10,0,0
36,StormDrug,3,12,3,0,0,0,221,0,0,1,0,180,0,0,0,0,0,0,0,0,500,10,0,0
37,[GROCERY],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,RandomTeleport,3,2,1,0,0,0,185,1,0,0,0,0,0,0,0,0,0,0,0,1,100,10,0,0
39,DungeonEscape,3,1,1,0,0,0,184,1,0,0,0,0,0,0,0,0,0,0,0,1,100,10,0,0
40,HomeTeleport,3,5,1,0,0,0,186,1,0,0,0,0,0,0,0,0,0,0,0,1,800,10,0,0
41,TownTeleport,3,3,1,0,0,0,183,1,0,0,0,0,0,0,0,0,0,0,0,0,500,10,0,0
42,RandomTele(B),31,109,6,0,0,0,241,6,0,0,0,0,0,0,0,0,0,0,0,0,800,10,0,0
43,DungeonEsc(B),31,108,6,0,0,0,240,6,0,0,0,0,0,0,0,0,0,0,0,0,800,10,0,0
44,HomeTele(B),31,111,6,0,0,0,243,6,0,0,0,0,0,0,0,0,0,0,0,0,6200,10,0,0
45,TownTele(B),31,110,6,0,0,0,242,6,0,0,0,0,0,0,0,0,0,0,0,0,3200,10,0,0
